@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute bow_accel numeric
@attribute bow_accel2 {0,1,2,3,4,5}
@attribute volume numeric
@attribute volume2 {0,1,2,3,4,5}
@attribute notes numeric
@attribute notes2 {0,1,2,3,4,5}

@data
2074,'2024/04/24 13:40:47:079',3,-16,-10,-9,-0.76,-0.48,-0.43,-74,74,10465.136719,?,?,?,?,?,?
2075,'2024/04/24 13:40:47:084',3,-16,-10,-9,-0.76,-0.48,-0.43,-74,74,10465.136719,?,?,?,?,?,?
2076,'2024/04/24 13:40:47:086',3,-16,-10,-9,-0.76,-0.48,-0.43,-74,74,10465.136719,?,?,?,?,?,?
2077,'2024/04/24 13:40:47:099',3,-16,-10,-9,-0.76,-0.48,-0.43,-67,74,10465.136719,?,?,?,?,?,?
2078,'2024/04/24 13:40:47:107',3,-16,-10,-9,-0.76,-0.48,-0.43,-67,74,10465.136719,?,?,?,?,?,?
2079,'2024/04/24 13:40:47:110',3,-16,-10,-9,-0.76,-0.48,-0.43,-67,74,10465.136719,?,?,?,?,?,?
2080,'2024/04/24 13:40:47:131',3,-16,-10,-9,-0.76,-0.48,-0.43,-67,74,10465.136719,?,?,?,?,?,?
2081,'2024/04/24 13:40:47:133',3,-16,-10,-9,-0.76,-0.48,-0.43,-67,74,10465.136719,?,?,?,?,?,?
2082,'2024/04/24 13:40:47:139',3,-16,-10,-9,-0.76,-0.48,-0.43,-72,74,10465.136719,?,?,?,?,?,?
2083,'2024/04/24 13:40:47:153',3,-16,-10,-9,-0.76,-0.48,-0.43,-72,74,10465.136719,?,?,?,?,?,?
2084,'2024/04/24 13:40:47:153',3,-16,-9,-9,-0.76,-0.48,-0.43,-72,74,10465.136719,?,?,?,?,?,?
2085,'2024/04/24 13:40:47:153',3,-16,-9,-9,-0.76,-0.48,-0.43,-72,74,10465.136719,?,?,?,?,?,?
2086,'2024/04/24 13:40:47:153',3,-16,-9,-9,-0.76,-0.48,-0.43,-72,74,10465.136719,?,?,?,?,?,?
2087,'2024/04/24 13:40:47:153',3,-16,-9,-9,-0.76,-0.43,-0.43,-72,74,10465.136719,?,?,?,?,?,?
2088,'2024/04/24 13:40:47:154',3,-16,-9,-9,-0.76,-0.43,-0.43,-72,74,10465.136719,?,?,?,?,?,?
2089,'2024/04/24 13:40:47:156',3,-16,-9,-9,-0.76,-0.43,-0.43,-72,74,10465.136719,?,?,?,?,?,?
2090,'2024/04/24 13:40:47:159',3,-16,-9,-9,-0.76,-0.43,-0.43,-75,74,10465.136719,?,?,?,?,?,?
2091,'2024/04/24 13:40:47:174',3,-16,-9,-9,-0.76,-0.43,-0.43,-75,74,10465.136719,?,?,?,?,?,?
2092,'2024/04/24 13:40:47:177',3,-16,-9,-9,-0.76,-0.43,-0.43,-75,74,10465.136719,?,?,?,?,?,?
2093,'2024/04/24 13:40:47:179',3,-16,-9,-9,-0.76,-0.43,-0.43,-63,74,10465.136719,?,?,?,?,?,?
2094,'2024/04/24 13:40:47:179',3,-16,-9,-9,-0.76,-0.43,-0.43,-63,74,10465.136719,?,?,?,?,?,?
2095,'2024/04/24 13:40:47:200',3,-16,-9,-9,-0.76,-0.43,-0.43,-63,74,10465.136719,?,?,?,?,?,?
2096,'2024/04/24 13:40:47:204',3,-16,-9,-9,-0.76,-0.43,-0.43,-63,74,10465.136719,?,?,?,?,?,?
2097,'2024/04/24 13:40:47:219',3,-16,-9,-9,-0.76,-0.43,-0.43,-66,74,10465.136719,?,?,?,?,?,?
2098,'2024/04/24 13:40:47:224',3,-16,-9,-9,-0.76,-0.43,-0.43,-66,74,10465.136719,?,?,?,?,?,?
2099,'2024/04/24 13:40:47:226',3,-16,-9,-9,-0.76,-0.43,-0.43,-66,74,10465.136719,?,?,?,?,?,?
2100,'2024/04/24 13:40:47:247',3,-16,-9,-9,-0.76,-0.43,-0.43,-66,74,10465.136719,?,?,?,?,?,?
2101,'2024/04/24 13:40:47:249',3,-16,-9,-9,-0.76,-0.43,-0.43,-66,74,10465.136719,?,?,?,?,?,?
2102,'2024/04/24 13:40:47:259',3,-16,-9,-9,-0.76,-0.43,-0.43,-69,74,10465.136719,?,?,?,?,?,?
